"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Aruba","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","109.1","3"
"Aruba","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","109.0","3"
"Aruba","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","108.6","3"
"Aruba","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","108.4","3"
"Aruba","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","107.8","3"
"Aruba","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","107.7",""
"Aruba","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.8","3"
"Aruba","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","105.6","3"
"Aruba","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.6","3"
"Aruba","Total","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.0","3"
"Aruba","Total","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.3","3"
"Aruba","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.1",""
"Aruba","Total","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.7","3"
"Aruba","Total","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.8","3"
"Aruba","Total","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.2","3"
"Aruba","Total","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","103.2","3"
"Aruba","Total","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.0",""
"Aruba","Total","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.7","3"
"Aruba","Total","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.6","3"
"Aruba","Total","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.7","3"
"Aruba","Total","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","106.9","3"
"Aruba","Total","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.9",""
"Australia","Total","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.1","9"
"Australia","Total","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.3","10"
"Australia","Total","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.4","10"
"Australia","Total","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.4","10"
"Australia","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","102.5","11"
"Australia","Total","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.6","10"
"Australia","Total","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.5","10"
"Australia","Total","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.5","9"
"Australia","Total","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.4","10"
"Australia","Total","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.3","10"
"Australia","Total","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.2","10"
"Australia","Total","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.0","10"
"Australia","Total","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.9","10"
"Australia","Total","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","100.9","9"
