"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2005","UNESCO_UIS Database_Sep2007","Number","152216",""
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Number","96740",""
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Number","99473","1"
"Afghanistan","Female","2001","UNESCO_UIS Database_Sep2007","Number","-","2"
"Afghanistan","Male","2005","UNESCO_UIS Database_Sep2007","Number","499237",""
"Afghanistan","Male","2004","UNESCO_UIS Database_Sep2007","Number","497566",""
"Afghanistan","Male","2003","UNESCO_UIS Database_Sep2007","Number","307422",""
"Afghanistan","Male","2001","UNESCO_UIS Database_Sep2007","Number","362415",""
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Number","190363",""
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Number","191295",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Number","180525","1"
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Number","183877",""
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Number","177264",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Number","176045",""
"Albania","Male","2004","UNESCO_UIS Database_Sep2007","Number","206693",""
"Albania","Male","2003","UNESCO_UIS Database_Sep2007","Number","204844",""
"Albania","Male","2002","UNESCO_UIS Database_Sep2007","Number","202254",""
"Albania","Male","2001","UNESCO_UIS Database_Sep2007","Number","193321",""
"Albania","Male","2000","UNESCO_UIS Database_Sep2007","Number","186425",""
"Albania","Male","1999","UNESCO_UIS Database_Sep2007","Number","187457",""
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Number","1905649","1"
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Number","1863415",""
"Algeria","Female","2003","UNESCO_UIS Database_Sep2007","Number","1793152",""
"Algeria","Female","2002","UNESCO_UIS Database_Sep2007","Number","1715721","1"
"Algeria","Male","2005","UNESCO_UIS Database_Sep2007","Number","1850172",""
"Algeria","Male","2004","UNESCO_UIS Database_Sep2007","Number","1813692",""
"Algeria","Male","2003","UNESCO_UIS Database_Sep2007","Number","1755332",""
"Algeria","Male","2002","UNESCO_UIS Database_Sep2007","Number","1708487",""
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Number","1879",""
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Number","1622",""
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Number","1604",""
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Number","1574",""
"Andorra","Male","2005","UNESCO_UIS Database_Sep2007","Number","1858",""
"Andorra","Male","2004","UNESCO_UIS Database_Sep2007","Number","1628",""
"Andorra","Male","2003","UNESCO_UIS Database_Sep2007","Number","1590",""
"Andorra","Male","2002","UNESCO_UIS Database_Sep2007","Number","1558",""
"Angola","Female","2001","UNESCO_UIS Database_Sep2007","Number","182772",""
"Angola","Female","2000","UNESCO_UIS Database_Sep2007","Number","160963",""
"Angola","Female","1999","UNESCO_UIS Database_Sep2007","Number","136803","1"
"Angola","Male","2001","UNESCO_UIS Database_Sep2007","Number","230923",""
"Angola","Male","2000","UNESCO_UIS Database_Sep2007","Number","194021",""
"Angola","Male","1999","UNESCO_UIS Database_Sep2007","Number","163677","3"
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Number","517",""
