"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","25698861",""
"Afghanistan","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","22642825",""
"Afghanistan","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","19775679",""
"Afghanistan","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","17184573",""
"Afghanistan","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","14652273",""
"Afghanistan","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","27553178",""
"Afghanistan","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","24283836",""
"Afghanistan","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","21217166",""
"Afghanistan","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","18446134",""
"Afghanistan","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","15736912",""
"Albania","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1793779",""
"Albania","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1773854",""
"Albania","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1738956",""
"Albania","Female","2015","UNPD_World Population Prospects_2006 (International projection)","Number","1691169",""
"Albania","Female","2010","UNPD_World Population Prospects_2006 (International projection)","Number","1634795",""
"Albania","Male","2030","UNPD_World Population Prospects_2006 (International projection)","Number","1724735",""
"Albania","Male","2025","UNPD_World Population Prospects_2006 (International projection)","Number","1714275",""
"Albania","Male","2020","UNPD_World Population Prospects_2006 (International projection)","Number","1690746",""
"Albania","Male","2015","UNPD_World Population Prospects_2006 (International projection)","Number","1654934",""
"Albania","Male","2010","UNPD_World Population Prospects_2006 (International projection)","Number","1610208",""
"Algeria","Female","2030","UNPD_World Population Prospects_2006 (International projection)","Number","22187918",""
"Algeria","Female","2025","UNPD_World Population Prospects_2006 (International projection)","Number","21252106",""
"Algeria","Female","2020","UNPD_World Population Prospects_2006 (International projection)","Number","20126108",""
